nftId,ratioSum,avgRatio,nftId,tokenId,likes,contractAddress,tokenIdInt
25975,2.002434932,0.16686957766666666,25975,33380,8,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,33380
21051,2.112481416,0.176040118,21051,28949,7,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,28949
15463,2.183526752,0.1819605626666667,15463,23918,3,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,23918
66028,2.268043296,0.18900360800000002,66028,33861,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,33861
87289,2.2812299,0.19010249166666668,87289,5311,6,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,5311
18102,2.297494433,0.19145786941666665,18102,26293,4,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,26293
36325,2.2997923389999997,0.19164936158333332,36325,69241,7,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,69241
35414,2.305199796,0.192099983,35414,68421,9,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,68421
86331,2.322961131,0.19358009425,86331,52258,4,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,52258
28160,2.335336089,0.19461134075,28160,61892,104,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,61892
28226,2.335336089,0.19461134075,28226,61951,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,61951
44403,2.344917723,0.19540981025,44403,76511,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,76511
29134,2.394512427,0.19954270225,29134,62769,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,62769
5440,2.420063449,0.20167195408333335,5440,14898,4,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,14898
20300,2.44510851,0.2037590425,20300,28271,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,28271
33559,2.452234129,0.20435284408333332,33559,66752,2,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,66752
66793,2.4907820210000002,0.2075651684166667,66793,34553,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,34553
30515,2.494629431,0.20788578591666665,30515,64011,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,64011
67710,2.5466485309999998,0.21222071091666664,67710,35419,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,35419
59905,2.563809037,0.21365075308333334,59905,90463,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,90463
84973,2.585365076,0.21544708966666667,84973,5102,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,5102
49012,2.616587076,0.218048923,49012,8065,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,8065
82719,2.6577701830000002,0.22148084858333336,82719,49000,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,49000
89256,2.675784497,0.22298204141666667,89256,54891,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,54891
87334,2.71508079,0.2262567325,87334,53160,4,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,53160
76671,2.733116186,0.22775968216666667,76671,43530,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,43530
8694,2.77032539,0.23086044916666668,8694,17826,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,17826
31581,2.781055977,0.23175466474999998,31581,64972,19,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,64972
28257,2.7849139259999998,0.2320761605,28257,6197,2,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,6197
40338,2.797172937,0.23309774475,40338,72853,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,72853
23796,2.801210084,0.23343417366666666,23796,31419,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,31419
79537,2.801958484,0.23349654033333334,79537,46132,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,46132
61037,2.8120460769999998,0.23433717308333332,61037,91482,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,91482
26773,2.8211217509999997,0.23509347925,26773,60643,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,60643
90385,2.833085617,0.23609046808333334,90385,55907,2,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,55907
71670,2.8336864459999997,0.23614053716666664,71670,39022,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,39022
68301,2.838714431,0.23655953591666667,68301,35961,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,35961
10594,2.839768517,0.23664737641666667,10594,19536,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,19536
80316,2.844554063,0.23704617191666666,80316,46837,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,46837
71351,2.845692477,0.23714103975,71351,38731,114,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,38731
89643,2.85651793,0.23804316083333332,89643,55239,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,55239
78039,2.85986992,0.23832249333333333,78039,44766,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,44766
255,2.862642164,0.23855351366666666,255,1022,100,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,1022
68515,2.862715951,0.23855966258333336,68515,3615,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,3615
63283,2.863770034,0.23864750283333333,63283,93503,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,93503
22871,2.864497353,0.23870811275,22871,30587,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,30587
74270,2.882279769,0.24018998075,74270,41362,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,41362
74354,2.882279769,0.24018998075,74354,41438,106,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,41438
42589,2.882606536,0.24021721133333332,42589,7487,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,7487
13260,2.8839557630000003,0.2403296469166667,13260,21935,4,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,21935
55225,2.8857266270000004,0.2404772189166667,55225,86251,4,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,86251
79110,2.8870231520000003,0.2405852626666667,79110,45747,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,45747
51843,2.8905965030000003,0.24088304191666668,51843,83207,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,83207
83898,2.89789077,0.2414908975,83898,50062,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,50062
72813,2.904700159,0.24205834658333333,72813,40050,22,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,40050
21693,2.905385315,0.24211544291666667,21693,29526,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,29526
44475,2.9064921029999997,0.24220767524999998,44475,76577,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,76577
56340,2.9128060749999998,0.2427338395833333,56340,87255,2,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,87255
19317,2.9146612640000003,0.24288843866666668,19317,27387,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,27387
25905,2.916611321,0.24305094341666666,25905,33317,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,33317
36018,2.926772701,0.24389772508333332,36018,68966,38,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,68966
67595,2.927689757,0.24397414641666668,67595,35315,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,35315
76022,2.9321485369999998,0.24434571141666664,76022,42942,6,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,42942
42383,2.934899699,0.24457497491666666,42383,74694,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,74694
20973,2.9422888350000003,0.24519073625,20973,28879,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,28879
2917,2.944038615,0.24533655125,2917,12626,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,12626
3078,2.9450610790000002,0.24542175658333334,3078,12771,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,12771
74983,2.9473379,0.24561149166666665,74983,42004,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,42004
19602,2.948518478,0.24570987316666668,19602,27643,2,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,27643
30528,2.9628118719999996,0.2469009893333333,30528,64023,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,64023
2009,2.963138638,0.24692821983333335,2009,11809,13,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,11809
76011,2.96487788,0.24707315666666665,76011,42932,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,42932
48740,2.967755531,0.24731296091666666,48740,80414,6,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,80414
21637,2.9685566359999997,0.24737971966666664,21637,29476,2,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,29476
13724,2.9688412389999996,0.2474034365833333,13724,22352,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,22352
8697,2.9710548169999997,0.24758790141666664,8697,17829,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,17829
86349,2.9731208230000004,0.24776006858333335,86349,52274,2,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,52274
18011,2.975977393,0.24799811608333333,18011,26210,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,26210
66561,2.983039766,0.24858664716666667,66561,34343,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,34343
51083,3.00936027,0.25078002250000003,51083,82523,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,82523
985,3.0133657940000003,0.25111381616666667,985,10888,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,10888
91176,3.018404319,0.25153369325,91176,56619,23,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,56619
20904,3.0213768400000003,0.2517814033333334,20904,28816,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,28816
56242,3.0242544909999998,0.2520212075833333,56242,87167,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,87167
39969,3.025203169,0.25210026408333336,39969,72520,2,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,72520
87416,3.0263099579999997,0.2521924965,87416,53234,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,53234
35986,3.03043143,0.2525359525,35986,68937,42,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,68937
53985,3.031801742,0.2526501451666667,53985,85135,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,85135
83188,3.032750418,0.2527292015,83188,49424,12,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,49424
52016,3.032824205,0.25273535041666667,52016,83363,3,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,83363
81233,3.03538563,0.2529488025,81233,47663,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,47663
72807,3.036576747,0.25304806225,72807,40045,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,40045
13683,3.03709325,0.25309110416666664,13683,22315,13,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,22315
86831,3.038263284,0.253188607,86831,52708,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,52708
85618,3.0394333189999996,0.2532861099166666,85618,51610,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,51610
48670,3.040698221,0.2533915184166667,48670,80351,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,80351
18560,3.041478244,0.2534565203333333,18560,26705,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,26705
42148,3.043196402,0.25359970016666666,42148,74482,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,74482
46405,3.043923721,0.25366031008333334,46405,78313,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,78313
92871,3.045104295,0.25375869125,92871,58144,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,58144
